Penyakit,Keterangan
Infeksi jamur,Infeksi jamur adalah kondisi kulit umum yang disebabkan oleh jamur.
Alergi,Alergi adalah reaksi sistem kekebalan tubuh terhadap suatu zat di lingkungan.
Penyakit GERD,GERD (Gastroesophageal Reflux Disease) adalah gangguan pencernaan yang menyerang sfingter esofagus bagian bawah.
Kolestasis kronis,Kolestasis kronis merupakan suatu kondisi di mana aliran empedu dari hati berkurang dalam jangka waktu lama.
Reaksi Obat,Reaksi Obat terjadi ketika tubuh bereaksi negatif terhadap suatu obat.
Penyakit tukak lambung,Penyakit tukak lambung melibatkan luka yang berkembang pada lapisan dalam lambung dan usus halus.
AIDS,AIDS (Acquired Immunodeficiency Syndrome) adalah penyakit yang disebabkan oleh HIV yang melemahkan sistem kekebalan tubuh.
Diabetes,Diabetes adalah kondisi kronis yang memengaruhi cara tubuh memproses gula darah.
Asma Bronkial,Asma Bronkial adalah kondisi pernapasan yang ditandai dengan peradangan pada saluran udara.
Migrain,Migrain adalah jenis sakit kepala yang sering kali disertai nyeri parah dan kepekaan terhadap cahaya dan suara.
Spondilosis serviks,Spondylosis serviks merupakan kondisi degeneratif pada tulang belakang leher.
Kelumpuhan (pendarahan otak),Kelumpuhan (pendarahan otak) mengacu pada hilangnya fungsi otot akibat pendarahan di otak.
Malaria,Malaria adalah penyakit menular melalui nyamuk yang menyerang manusia dan hewan lainnya.
Cacar air,Cacar air adalah infeksi virus yang sangat menular dan menyebabkan ruam gatal.
demam berdarah,Demam berdarah adalah infeksi virus yang ditularkan melalui nyamuk dan menyebabkan gejala seperti flu.
Penyakit tipus,Tifus adalah infeksi bakteri yang dapat menyebabkan demam tinggi dan gejala gastrointestinal.
penyakit hepatitis A,hepatitis A adalah penyakit hati yang disebabkan oleh virus.
Penyakit Hepatitis B,Hepatitis B adalah infeksi virus yang menyerang hati.
Hepatitis C,Hepatitis C adalah infeksi virus yang menyebabkan peradangan hati.
Penyakit Hepatitis D.,Hepatitis D adalah penyakit hati serius yang disebabkan oleh virus hepatitis D.
Hepatitis E,Hepatitis E adalah infeksi virus yang menyebabkan peradangan hati.
Hepatitis alkoholik,Hepatitis alkoholik adalah peradangan hati akibat konsumsi alkohol.
Tuberkulosis,Tuberkulosis adalah infeksi bakteri yang terutama menyerang paru-paru.
Flu biasa,Flu biasa adalah infeksi virus pada saluran pernapasan atas.
Radang paru-paru,Pneumonia adalah kondisi peradangan yang menyerang kantung udara dalam paru-paru.
Wasir dimorfik (ambeien),Wasir dimorfik (ambeien) adalah suatu kondisi yang ditandai dengan pembengkakan pembuluh darah di rektum.
Serangan jantung,Serangan jantung adalah penurunan aliran darah ke otot jantung secara tiba-tiba dan parah.
Pembuluh mekar,Varises adalah pembuluh vena yang membesar dan melilit dan biasanya muncul pada kaki.
Hipotiroidisme,Hipotiroidisme adalah suatu kondisi dimana kelenjar tiroid tidak menghasilkan cukup hormon tiroid.
Hipertiroidisme,Hipertiroidisme adalah suatu kondisi ketika kelenjar tiroid menghasilkan terlalu banyak hormon tiroid.
Hipoglikemia,Hipoglikemia adalah suatu kondisi yang ditandai dengan kadar gula darah yang rendah secara tidak normal.
Osteoartritis,Osteoartritis adalah penyakit sendi degeneratif yang memengaruhi tulang rawan pada sendi.
(vertigo) Vertigo Posisi Paraymsal,(Vertigo) Vertigo Posisi Paroksismal adalah jenis pusing yang disebabkan oleh gerakan kepala tertentu.
Jerawat,Jerawat adalah kondisi kulit yang terjadi ketika folikel rambut tersumbat oleh minyak dan sel kulit mati.
Infeksi saluran kemih,Infeksi saluran kemih adalah infeksi pada bagian mana pun dari sistem kemih.
Impetigo,Impetigo adalah infeksi kulit yang sangat menular yang menyebabkan luka merah yang dapat pecah.
