Penyakit,Tindakan pencegahan_1,Tindakan pencegahan_2,Tindakan pencegahan_3,Tindakan pencegahan_4
Reaksi Obat,hentikan iritasi,konsultasikan ke rumah sakit terdekat,berhenti minum obat,menindaklanjuti
Malaria,Konsultasikan ke rumah sakit terdekat,hindari makanan berminyak,hindari makanan non-sayur,mengusir nyamuk
Alergi,oleskan calamine,tutupi area tersebut dengan perban,Gunakan es untuk mengompres gatal,Gunakan Produk Anti-Alergi di Rumah
Hipotiroidisme,mengurangi stres,latihan,makan sehat,tidur yang cukup
Psoriasis,cuci tangan dengan air sabun hangat,hentikan pendarahan dengan menggunakan tekanan,konsultasi dokter,mandi garam
Penyakit GERD,hindari makanan berlemak pedas,hindari berbaring setelah makan,mempertahankan berat badan yang sehat,latihan
Kolestasis kronis,mandi air dingin,obat gatal,konsultasi dokter,makan sehat
penyakit hepatitis A,Konsultasikan ke rumah sakit terdekat,cuci tangan melalui,hindari makanan berlemak pedas,pengobatan
Osteoartritis,parasetamol,konsultasikan ke rumah sakit terdekat,menindaklanjuti,mandi garam
(vertigo) Vertigo Posisi Paraymsal,berbaring,hindari perubahan tubuh yang tiba-tiba,hindari gerakan kepala yang tiba-tiba,santai
Hipoglikemia,berbaring miring,cek denyut nadi,minum minuman manis,konsultasi dokter
Jerawat,mandi dua kali,hindari makanan berlemak pedas,minum banyak air,hindari terlalu banyak produk
Diabetes,memiliki pola makan seimbang,latihan,konsultasi dokter,menindaklanjuti
Impetigo,rendam bagian yang terkena dengan air hangat,menggunakan antibiotik,menghilangkan keropeng dengan kain basah yang dikompres,konsultasi dokter
Hipertensi,meditasi,mandi garam,mengurangi stres,tidur yang cukup
Penyakit tukak lambung,hindari makanan berlemak pedas,mengonsumsi makanan probiotik,menghilangkan susu,batasi alkohol
Wasir dimorfik (ambeien),hindari makanan berlemak pedas,konsumsi witch hazel,mandi air hangat dengan garam epsom,minum jus lidah buaya
Flu biasa,minum minuman yang kaya vitamin c,mengambil uap,hindari makanan dingin,menjaga demam tetap terkendali
Cacar air,Gunakan nimba saat mandi,mengkonsumsi daun nimba,menerima vaksin,hindari tempat umum
Spondilosis serviks,Gunakan bantal pemanas atau kompres dingin,latihan,minum obat pereda nyeri yang dijual bebas,konsultasi dokter
Hipertiroidisme,makan sehat,pijat,Gunakan lemon balm,menjalani pengobatan yodium radioaktif
Infeksi saluran kemih,minum banyak air,meningkatkan asupan vitamin c,minum jus cranberry,minum probiotik
Pembuluh mekar,berbaring telentang dan angkat kaki tinggi-tinggi,Gunakan salep,gunakan kompresi vena,jangan diam terlalu lama
AIDS,hindari luka terbuka,pakai APD jika memungkinkan,konsultasi dokter,menindaklanjuti
Kelumpuhan (pendarahan otak),pijat,makan sehat,latihan,konsultasi dokter
Penyakit tipus,makan sayuran berkalori tinggi,terapi antibiotik,konsultasi dokter,pengobatan
Penyakit Hepatitis B,konsultasikan ke rumah sakit terdekat,vaksinasi,makan sehat,pengobatan
Infeksi jamur,mandi dua kali,Gunakan detol atau nimba di air mandi,jaga agar area yang terinfeksi tetap kering,Gunakan kain bersih
Hepatitis C,Konsultasikan ke rumah sakit terdekat,vaksinasi,makan sehat,pengobatan
Migrain,meditasi,mengurangi stres,Gunakan kacamata poloroid di bawah sinar matahari,konsultasi dokter
Asma Bronkial,beralih ke pakaian longgar,ambil napas dalam-dalam,menjauh dari pemicu,mencari bantuan
Hepatitis alkoholik,hentikan konsumsi alkohol,konsultasi dokter,pengobatan,menindaklanjuti
Penyakit kuning,minum banyak air,mengonsumsi milk thistle,makan buah dan makanan berserat tinggi,pengobatan
Hepatitis E,hentikan konsumsi alkohol,istirahat,konsultasi dokter,pengobatan
demam berdarah,minum jus daun pepaya,hindari makanan berlemak pedas,menjauhkan nyamuk,tetap terhidrasi
Penyakit Hepatitis D.,konsultasi dokter,pengobatan,makan sehat,menindaklanjuti
Serangan jantung,panggil ambulans,mengunyah atau menelan aspirin,tetap tenang,Obat Anti-Koagulan Seperti heparin
Radang paru-paru,konsultasi dokter,pengobatan,istirahat,menindaklanjuti
Radang sendi,latihan,menggunakan terapi panas dan dingin,coba akupuntur,pijat
Radang perut,berhenti makan makanan padat untuk sementara waktu,cobalah minum air sedikit-sedikit,istirahat,kembali makan dengan santai
Tuberkulosis,tutup mulut,konsultasi dokter,pengobatan,istirahat
