Penyakit,Pengobatan
Infeksi jamur,"Krim Antijamur,Flukonazol,Terbinafine,Klotrimazol,Ketokonazol"
Alergi,"Antihistamin,Dekongestan,Epinefrin,Kortikosteroid,Imunoterapi"
Penyakit GERD,"Inhibitor Pompa Proton(PPI),Pemblokir H2,Antasida,Prokinetika,Antibiotik"
Kolestasis kronis,"Asamursodeoksikolat,Kolestyramine,Methotrexate,Kortikosteroid,Transplantasihati"
Reaksi Obat,"Antihistamin,Epinefrin,Kortikosteroid,Antibiotik,Krim Antijamur"
Penyakit tukak lambung,"Antibiotik,Inhibitor Pompa Proton(PPI),Pemblokir H2,Antasida,Agensitoprotektif"
AIDS,"Obatantiretroviral,Inhibitorprotease,Inhibitorintegrasise,Inhibitormasuk,Inhibitorfusi"
Diabetes,"Insulin,Metformin,Sulfonylureas,DPP-4inhibitor,GLP-1receptoragonist"
Gastroenteritis,"Antibiotik,Obatantiemetik,Obatantidiare,cairan IV,Probiotik"
Asma Bronkial,"Bronkodilator,Kortikosteroidinhalasi,Pengubah Leukotrien,Penstabilselmast,Antikolinergik"
Hipertensi,"Obatantihipertensi,Diuretik,Beta-blocker,ACEinhibitor,Calciumchannelblocker"
Migrain,"Analgesik,Triptan,Derivatif Ergotamine,Pengobatanpencegahan,Biofeedback"
Spondylosis serviks,"Peredanyeri,Relaksanotot,Terapifisik,Penyanggaleher,Kortikosteroid"
Kelumpuhan (pendarahan otak),"Pengencerdarah,Obatpembubaranbekuandarah,Antikonvulsan,Terapifisik,Terapiokupasi"
Penyakit kuning,"Cairan IV,Transfusidarah,Transplantasihati,Obatgatal,Obatantivirus"
Malaria,"Obatantimalaria,Antipiretik,Obatantiemetik,cairan IV,Transfusidarah"
Cacar air,"Obatantivirus,Peredanyeri,cairan IV,Transfusidarah,Transfusitrombosit"
demam berdarah,"Antibiotik,Antipiretik,Analgesik,cairan IV,Kortikosteroid"
Penyakit tipus,"Vaksinasi,Obatantivirus,cairan IV,Transfusidarah,Transplantasihati"
hepatitis A,"Vaksinasi,Obatantivirus,cairan IV,Transfusidarah,Transplantasihati"
Hepatitis B,"Obatantivirus,cairan IV,Transfusidarah,Transfusitrombosit,Transplantasihati"
Hepatitis C,"Obatantivirus,cairan IV,Transfusidarah,Transfusitrombosit,Transplantasihati"
Hepatitis D,"Obatantivirus,cairan IV,Transfusidarah,Transfusitrombosit,Transplantasihati"
Hepatitis E,"Penghentianalkohol,Kortikosteroid,cairan IV,Transplantasihati,Dukungannutrisi"
Hepatitis alkoholik,"Antibiotik,Isoniazid,Rifampin,Etambutol,Pirazinamida"
TBC,"Antipiretik,Dekongestan,Peredabatuk,Antihistamin,Peredanyeri"
Flu biasa,"Antibiotik,Obatantivirus,Obatantijamur,cairan IV,Terapioksigen"
Radang paru-paru,"Pencahar,Peredanyeri,Mandiairhangat,Kompresdingin,Diettinggiserat"
Wasir dimorfik (tumpukan),"Nitrogliserin,Aspirin,Beta-blocker,Calciumchannelblocker,Obattrombolitik"
Serangan jantung,"Stokingkompresi,Olahraga,Meninggikankaki,Skleroterapi,Perawatanlaser"
Pembuluh mekar,"Levothyroxine,Obatantitiroid,Beta-blocker,Radioaktifyodium,Operasitiroid"
Hipotiroidisme,"Obatantitiroid,Yodiumradioaktif,Operasitiroid,Beta-blocker,Kortikosteroid"
Hipertiroidisme,"Tabletglukosa,Permenataujus,Injeksi Glukagon,Dekstrosa IV,Diazoksida"
Hipoglikemia,"Peredanyeri,Olahraga,Paketpanasdandingin,Perlindungansendi,Terapifisik"
Osteoartritis,"NSAID,Obatantirematikpemodifikasipenyakit(DMARDs),Biologis,Kortikosteroid,Operasipenggantiansendi"
Radang sendi,"Rehabilitasivestibular,Reposisikanalit,Pengobatanmual,Pembedahan,Latihandirumah"
(vertigo) Vertigo Posisi Paroksismal,"Perawatantopikal,Antibiotik,Obatoral,Perawatanhormonal,Isotretinoin"
Jerawat,"Antibiotik,Peredanyeri,Antihistamin,Kortikosteroid,Perawatantopikal"
Infeksi saluran kemih,"Antibiotik,Analgesikurin,Phenazopyridine,Antispasmodik,Probiotik"
Psoriasis,"Perawatantopikal,Fototerapi,Pengobatansistemik,Biologi,Terbatubara"
Impetigo,"Antibiotiktopikal,Antibiotikoral,Antiseptik,Salep,Kompreshangat"
